#{"t_start": 1619619113.6881702, "env_id": null}
r,l,t
-6058.98,60,59.024167
-6085.43,60,59.171198
-6124.81,60,59.250216
-6108.73,60,59.347237
-6029.33,60,59.478267
-6089.47,60,59.570288
-6044.53,60,59.683313
-6246.57,60,59.743326
-6154.26,60,59.831347
-5958.61,60,59.896362
-5979.36,60,59.997395
-6088.38,60,60.068411
-6059.79,60,60.172434
-6102.94,60,60.237438
-6083.35,60,60.320457
-6060.37,60,60.379471
-6051.64,60,60.477492
-6040.02,60,60.532505
-6201.6,60,60.587517
-6022.13,60,60.674547
-6017.56,60,60.73555
-6129.31,60,60.818569
-6136.42,60,60.874582
-6056.82,60,60.9576
-6070.37,60,61.012614
-6087.47,60,61.092632
-6259.79,60,61.162646
-6081.22,60,61.277673
-6041.0,60,61.337686
-6087.4,60,61.423707
-6101.58,60,61.492732
-6050.85,60,61.613748
-6144.28,60,61.697767
-6149.59,60,61.814795
-6101.22,60,61.917819
-6178.56,60,62.004855
-6118.34,60,62.14987
-5978.71,60,62.229887
-6129.93,60,62.325909
-6044.3,60,62.383922
-6050.84,60,62.46894
-6062.85,60,62.523954
-6107.36,60,62.613974
-5978.45,60,62.677988
-5979.32,60,62.770009
-6028.08,60,62.826021
-6057.44,60,62.952049
-5947.4,60,63.017064
-6059.94,60,63.096091
-5937.84,60,63.164101
-6068.55,60,63.249118
-6020.7,60,63.344139
-5857.66,60,63.39815
-6126.9,60,63.484171
-6083.94,60,63.552185
-5955.29,60,63.663209
-5940.99,60,63.74523
-6106.64,60,63.835248
-6110.25,60,63.88726
-6028.24,60,63.969289
-6068.04,60,64.036294
-6011.69,60,64.15232
-5935.17,60,64.226338
-6133.55,60,64.350365
-6060.99,60,64.418381
-6011.39,60,64.525404
-6063.41,60,64.583417
-6168.28,60,64.655436
-6012.24,60,64.757466
-6032.5,60,64.827472
-5923.07,60,64.925494
-6020.38,60,64.986508
-5984.46,60,65.070527
-6143.38,60,65.148545
-6001.04,60,65.238566
-5965.55,60,65.294577
-6061.2,60,65.379607
-5999.07,60,65.43861
-6058.29,60,65.521629
-5939.37,60,65.578641
-5973.85,60,65.673664
-6178.44,60,65.729675
-6035.95,60,65.786688
-6040.19,60,65.868706
-6144.12,60,65.924728
-6053.09,60,66.015741
-6065.72,60,66.115764
-6064.89,60,66.272799
-6052.19,60,66.364821
-6040.95,60,66.502868
-6052.65,60,66.617878
-6040.15,60,66.789916
-6198.65,60,66.870935
-6093.92,60,66.993961
-6123.98,60,67.050975
-5971.06,60,67.136993
-6002.02,60,67.200008
-5984.59,60,67.307031
-6014.19,60,67.369045
-6095.47,60,67.426058
-6079.67,60,67.510077
-6166.65,60,67.568089
-5948.1,60,67.651108
-6183.02,60,67.70612
-6003.99,60,67.791148
-6148.85,60,67.854155
-6011.55,60,67.941183
-6058.55,60,67.997186
-5986.83,60,68.083206
-6207.82,60,68.158223
-6074.22,60,68.290254
-6012.15,60,68.410281
-6097.68,60,68.54931
-6299.22,60,68.613326
-6040.07,60,68.666338
-6201.61,60,68.756358
-6089.24,60,68.823372
-6110.69,60,68.921395
-6110.9,60,68.991421
-6039.33,60,69.073429
-6086.05,60,69.130452
-6199.32,60,69.20946
-6071.76,60,69.271474
-6175.81,60,69.372496
-6001.93,60,69.426508
-5954.89,60,69.509527
-6047.49,60,69.56555
-6006.15,60,69.660571
-6098.43,60,69.719576
-6034.39,60,69.801593
-6030.33,60,69.870608
-6069.97,60,69.944625
-6121.27,60,70.043651
-6199.35,60,70.105661
-6136.99,60,70.197692
-6109.44,60,70.256695
-6214.45,60,70.341715
-6139.03,60,70.401738
-6158.44,60,70.486747
-6114.82,60,70.546761
-6079.84,60,70.639781
-6137.86,60,70.694793
-6191.89,60,70.773812
-6051.72,60,70.829824
-6135.45,60,70.918855
-6080.05,60,70.978868
-6195.99,60,71.043873
-6159.3,60,71.140905
-6038.23,60,71.198909
-6111.08,60,71.284937
-6044.45,60,71.34494
-6066.57,60,71.434961
-6244.25,60,71.552988
-6214.02,60,71.702039
-6210.86,60,71.77904
-6106.76,60,71.903067
-6145.63,60,71.979085
-6207.7,60,72.133119
-6285.69,60,72.206137
-6212.41,60,72.324162
-6076.56,60,72.409181
-6224.15,60,72.585222
-6114.93,60,72.699247
-6192.22,60,72.835281
-6045.32,60,73.004314
-6101.37,60,73.096335
-6268.52,60,73.20836
-6270.11,60,73.266373
-6081.27,60,73.352392
-6138.82,60,73.42541
-6190.52,60,73.549437
-6192.99,60,73.649994
-6046.56,60,73.762204
-6247.74,60,73.820185
-6131.96,60,73.909226
-6054.96,60,73.972555
-6212.32,60,74.102926
-6156.24,60,74.178941
-6198.02,60,74.253959
-6083.3,60,74.389992
-6155.22,60,74.49203
-6075.71,60,74.655051
-6129.96,60,74.749071
-6145.59,60,74.907124
-6043.63,60,75.033134
-6172.28,60,75.176166
-6058.01,60,75.259186
-6157.94,60,75.359208
-6210.79,60,75.426222
-6232.98,60,75.567253
-6208.36,60,75.660275
-6114.96,60,75.834314
-6002.1,60,75.947343
-6373.95,60,76.096374
-6255.77,60,76.202398
-6177.24,60,76.318427
-6169.56,60,76.459455
-6205.72,60,76.548476
-6044.32,60,76.670504
-6062.43,60,76.757523
-6252.15,60,76.889551
-6150.53,60,76.988574
-6154.49,60,77.091597
-6391.79,60,77.162622
-6047.99,60,77.262635
-6052.9,60,77.328659
-6111.87,60,77.410678
-6207.31,60,77.474686
-6025.72,60,77.597711
-6193.12,60,77.674732
