#{"t_start": 1619618349.1137214, "env_id": null}
r,l,t
-6173.14,60,26.028016
-6307.32,60,26.09503
-6293.51,60,26.162045
-6292.34,60,26.22706
-6262.44,60,26.293075
-6259.07,60,26.359099
-6041.59,60,26.425105
-6206.26,60,26.49112
-6037.47,60,26.556134
-6259.75,60,26.626159
-6157.66,60,26.694166
-6284.6,60,26.761181
-6057.96,60,26.828196
-6248.56,60,26.89321
-6197.93,60,26.960225
-6216.8,60,27.025239
-6271.59,60,27.092255
-6127.75,60,27.15827
-6193.09,60,27.224285
-6292.09,60,27.2913
-6329.39,60,27.360316
-6303.09,60,27.427331
-6203.83,60,27.494347
-6084.01,60,27.564361
-6218.5,60,27.633376
-6154.45,60,27.705393
-6447.92,60,27.772408
-6319.12,60,27.839423
-6296.38,60,27.905438
-6230.69,60,27.974454
-6325.52,60,28.041469
-6195.66,60,28.108484
-6309.96,60,28.174499
-6449.99,60,28.240513
-6254.09,60,28.306529
-6299.23,60,28.377544
-6418.62,60,28.44256
-6355.12,60,28.508574
-6212.84,60,28.574589
-6351.83,60,28.640603
-6119.13,60,28.706619
-6406.13,60,28.772634
-6281.54,60,28.84365
-6124.2,60,28.908664
-6482.49,60,28.974678
-6356.61,60,29.041695
-6201.41,60,29.107709
-6219.0,60,29.173723
-6090.41,60,29.240739
-5997.57,60,29.307754
-6393.73,60,29.37377
-6124.75,60,29.440783
-6276.15,60,29.507799
-6474.87,60,29.575814
-6251.68,60,29.64283
-6516.66,60,29.713845
-6577.29,60,29.781376
-6396.19,60,29.848741
-6402.88,60,29.915755
-6163.38,60,29.986634
-6137.3,60,30.054654
-6128.86,60,30.121669
-6189.69,60,30.190457
-6493.75,60,30.256472
-6288.83,60,30.324487
-6314.03,60,30.391502
-6206.5,60,30.458516
-6166.8,60,30.525532
-6059.36,60,30.593547
-6286.8,60,30.660562
-6143.8,60,30.726577
-6129.17,60,30.794593
-6130.25,60,30.860607
-6104.22,60,30.926622
-6230.91,60,30.991638
-5917.07,60,31.064654
-6130.04,60,31.130668
-6075.3,60,31.196683
-6110.4,60,31.263698
-6127.62,60,31.330713
-5959.68,60,31.396729
-5988.75,60,31.462743
-6136.27,60,31.529758
-6046.65,60,31.596773
-6112.95,60,31.663788
-6125.5,60,31.728803
-5884.05,60,31.79882
-5894.33,60,31.865834
-5931.5,60,31.930848
-6025.65,60,31.997864
-6030.68,60,32.064879
-6159.13,60,32.130893
-6163.49,60,32.20291
-6196.59,60,32.267924
-5923.18,60,32.333939
-6037.18,60,32.399954
-5923.81,60,32.466969
-6098.19,60,32.532984
-6240.07,60,32.600999
-5900.86,60,32.666024
-6170.68,60,32.733029
-5969.46,60,32.799044
-6123.87,60,32.866059
-5958.88,60,32.934075
-6002.76,60,33.00009
-6021.36,60,33.068105
-6097.54,60,33.136121
-5970.85,60,33.204136
-6353.42,60,33.271151
-5992.42,60,33.343166
-6068.71,60,33.415183
-6083.43,60,33.481198
-6111.77,60,33.549213
-6015.39,60,33.616228
-6212.76,60,33.682243
-6146.04,60,33.749259
-6096.63,60,33.814273
-5989.58,60,33.880288
-6130.47,60,33.946306
-6163.66,60,34.013321
-6024.55,60,34.079346
-5888.38,60,34.146361
-5996.6,60,34.213377
-6062.8,60,34.280392
-5948.35,60,34.346361
-6187.76,60,34.417377
-5936.9,60,34.483396
-6023.16,60,34.549768
-6107.46,60,34.614782
-6031.97,60,34.681605
-5941.11,60,34.748611
-6053.26,60,34.815627
-6216.38,60,34.881922
-6081.31,60,34.947936
-6058.05,60,35.012951
-6021.17,60,35.078976
-6151.01,60,35.144892
-5957.86,60,35.211905
-6039.41,60,35.278778
-5928.26,60,35.345793
-5931.58,60,35.411808
-5791.95,60,35.478977
-5946.87,60,35.55197
-5903.31,60,35.618984
-5879.04,60,35.686
-5826.86,60,35.753969
-5853.48,60,35.821985
-5798.87,60,35.888291
-5787.98,60,35.956306
-5823.56,60,36.023321
-5837.95,60,36.091336
-5822.49,60,36.15635
-5876.06,60,36.222366
-5819.18,60,36.288381
-5838.2,60,36.354396
-5898.78,60,36.42142
-5839.19,60,36.487426
-5767.85,60,36.55344
-5765.54,60,36.619456
-5768.67,60,36.690471
-5661.46,60,36.755496
-5753.69,60,36.821501
-5772.59,60,36.887515
-5806.85,60,36.95353
-5749.64,60,37.019545
-5736.3,60,37.086561
-5725.16,60,37.153575
-5749.93,60,37.218591
-5710.13,60,37.285605
-5707.67,60,37.35162
-5720.75,60,37.417637
-5716.42,60,37.48465
-5746.46,60,37.554666
-5818.39,60,37.623681
-5751.49,60,37.690697
-5698.45,60,37.768714
-5870.4,60,37.834729
-5771.96,60,37.899743
-5750.28,60,37.966759
-5711.41,60,38.035774
-5723.29,60,38.102789
-5737.77,60,38.169805
-5733.96,60,38.23682
-5810.37,60,38.303835
-5732.1,60,38.37185
-5712.12,60,38.442866
-5770.16,60,38.509881
-5956.64,60,38.577896
-5901.38,60,38.644912
-5846.71,60,38.711927
-5893.11,60,38.777942
-5812.25,60,38.843956
-5794.84,60,38.922974
-5727.46,60,38.988989
-5890.99,60,39.055003
-5749.74,60,39.12202
-5773.48,60,39.188035
-5947.5,60,39.254049
