#{"t_start": 1619618464.0768766, "env_id": null}
r,l,t
-6308.21,60,37.5558
-6315.84,60,37.648821
-6301.14,60,37.755845
-6236.89,60,37.852867
-6452.97,60,37.961892
-6319.69,60,38.060914
-6344.37,60,38.167939
-6328.61,60,38.261959
-6476.94,60,38.354981
-6463.17,60,38.455004
-6332.88,60,38.561028
-6199.33,60,38.652047
-6264.2,60,38.751069
-6265.91,60,38.830088
-6313.99,60,38.923108
-6476.47,60,39.008128
-6476.14,60,39.098157
-6376.06,60,39.19517
-6278.17,60,39.295193
-6433.92,60,39.392214
-6399.62,60,39.481234
-6465.85,60,39.570255
-6408.85,60,39.665276
-6468.95,60,39.759297
-6471.46,60,39.86032
-6288.67,60,39.963353
-6251.67,60,40.069366
-6420.17,60,40.169389
-6475.38,60,40.271412
-6475.68,60,40.359432
-6311.84,60,40.464458
-6379.31,60,40.568479
-6408.76,60,40.669502
-6476.09,60,40.755521
-6401.47,60,40.856544
-6359.75,60,40.939563
-6549.94,60,41.035584
-6357.3,60,41.123605
-6365.28,60,41.210624
-6520.05,60,41.305645
-6397.63,60,41.394666
-6357.26,60,41.484685
-6371.41,60,41.580707
-6459.69,60,41.679729
-6240.26,60,41.780752
-6560.09,60,41.869772
-6341.49,60,41.967794
-6360.97,60,42.065818
-6418.71,60,42.167839
-6475.29,60,42.273864
-6411.79,60,42.366884
-6320.87,60,42.467906
-6323.91,60,42.56793
-6278.31,60,42.66195
-6416.04,60,42.771975
-6359.13,60,42.863997
-6285.83,60,42.958018
-6407.32,60,43.05504
-6311.91,60,43.151061
-6319.14,60,43.242081
-6487.43,60,43.340104
-6364.66,60,43.442126
-6383.65,60,43.536147
-6317.0,60,43.617166
-6296.45,60,43.720189
-6321.51,60,43.808209
-6289.29,60,43.888227
-6400.88,60,43.990251
-6318.99,60,44.079269
-6493.73,60,44.177292
-6310.04,60,44.282316
-6391.56,60,44.368335
-6365.46,60,44.455356
-6312.35,60,44.547375
-6287.96,60,44.653399
-6332.91,60,44.748421
-6313.7,60,44.850444
-6287.52,60,44.937464
-6342.47,60,45.041487
-6314.25,60,45.135509
-6320.15,60,45.225528
-6500.06,60,45.314548
-6494.17,60,45.41057
-6321.65,60,45.508592
-6392.62,60,45.597612
-6282.66,60,45.690642
-6336.51,60,45.786654
-6368.35,60,45.871674
-6444.21,60,45.967695
-6429.84,60,46.052715
-6442.48,60,46.153737
-6426.91,60,46.265763
-6329.75,60,46.366785
-6375.04,60,46.457806
-6338.34,60,46.560829
-6344.27,60,46.666853
-6360.36,60,46.764876
-6301.65,60,46.854896
-6329.42,60,46.948916
-6319.53,60,47.044938
-6399.92,60,47.134959
-6393.69,60,47.235982
-6400.16,60,47.316
-6427.33,60,47.426025
-6351.42,60,47.528047
-6373.93,60,47.622068
-6390.33,60,47.712089
-6376.91,60,47.817112
-6359.15,60,47.905132
-6449.57,60,48.002154
-6393.06,60,48.090174
-6443.94,60,48.177202
-6396.97,60,48.274216
-6465.1,60,48.372246
-6324.35,60,48.458256
-6456.93,60,48.558279
-6370.66,60,48.6503
-6406.75,60,48.73732
-6382.03,60,48.813345
-6446.92,60,48.912359
-6398.09,60,49.011381
-6369.0,60,49.105402
-6373.17,60,49.199423
-6388.31,60,49.292444
-6543.78,60,49.388466
-6454.53,60,49.473485
-6406.52,60,49.577509
